D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_0.5_200_128_01_28_2022_09_26_06,0.35651,0.54253,0.89043
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_0_200_128_01_26_2022_18_27_31,0.02162,0.04772,0.62963
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_0_200_128_01_28_2022_09_08_32,0.00763,0.0391,0.34105
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_10_200_128_01_26_2022_21_18_35,0.35258,0.50657,0.87346
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_10_200_128_01_26_2022_22_08_15,0.26409,0.38038,0.82562
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_12_200_128_01_26_2022_21_36_34,0.29823,0.4336,0.84722
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_14_200_128_01_26_2022_21_52_27,0.25954,0.399,0.83642
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_1_200_128_01_25_2022_09_46_33,0.25954,0.399,0.83642
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_1_200_128_01_26_2022_19_23_00,0.30003,0.4588,0.85957
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_3_200_128_01_22_2022_10_47_34,0.2466,0.35762,0.81636
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_3_200_128_01_26_2022_19_49_30,0.22274,0.35418,0.81944
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_5_200_128_01_22_2022_11_04_04,0.29702,0.34232,0.80247
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_5_200_128_01_26_2022_20_16_36,0.31386,0.47032,0.86265
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_7_200_128_01_26_2022_20_40_02,0.34744,0.49474,0.86883
D:\UW\Final thesis\audio_classification\model\model\physionet_40_10_9_200_128_01_26_2022_20_57_57,0.31226,0.47581,0.86574
D:\UW\Final thesis\audio_classification\model\model\physionet_40_3_3_200_128_01_22_2022_11_21_33,0.42387,0.58559,0.89815
D:\UW\Final thesis\audio_classification\model\model\physionet_40_3_5_200_128_01_22_2022_11_38_36,0.42276,0.61156,0.91049
D:\UW\Final thesis\audio_classification\model\model\physionet_40_5_0.5_200_256_01_28_2022_18_14_12,0.27256,0.40967,0.83951
D:\UW\Final thesis\audio_classification\model\model\physionet_40_5_0.5_200_64_01_28_2022_16_28_28,0.34127,0.48607,0.86574
D:\UW\Final thesis\audio_classification\model\model\physionet_40_5_0_200_256_01_28_2022_17_36_04,0.01891,-0.06484,0.33951
D:\UW\Final thesis\audio_classification\model\model\physionet_40_5_0_200_64_01_28_2022_16_19_43,0.01513,0.01388,0.43827
D:\UW\Final thesis\audio_classification\model\model\physionet_40_5_12_200_128_01_28_2022_11_12_50,0.38141,0.51449,0.87346
