clients_count,epochs,batch_size,round,nmi,ari,accuracy,test_accuracy
10,400,64,1,0.0,0.0,0.18298,0.18644
10,400,64,2,0.0,0.0,0.81702,0.81356
10,400,64,3,0.0,0.0,0.81702,0.81356
10,400,64,4,0.0,0.0,0.81702,0.81356
10,400,64,5,0.0,0.0,0.81702,0.81356
10,400,64,6,0.0,0.0,0.81702,0.81356
10,400,64,7,0.0,0.0,0.81702,0.81356
10,400,64,8,0.0,0.0,0.81702,0.81356
10,400,64,9,0.0,0.0,0.81702,0.81356
10,400,64,10,0.0,0.0,0.81702,0.81356
10,400,64,11,0.0,0.0,0.81702,0.81356
10,400,64,12,0.0,0.0,0.81702,0.81356
10,400,64,13,0.0,0.0,0.81702,0.81356
10,400,64,14,0.0,0.0,0.81702,0.81356
10,400,64,15,0.0,0.0,0.81702,0.81356
10,400,64,16,0.0,0.0,0.81702,0.81356
10,400,64,17,0.0,0.0,0.81702,0.81356
10,400,64,18,0.0,0.0,0.81702,0.81356
10,400,64,19,0.0,0.0,0.81702,0.81356
10,400,64,20,0.0,0.0,0.81702,0.81356
10,400,64,21,0.0,0.0,0.81702,0.81356
10,400,64,22,0.0,0.0,0.81702,0.81356
10,400,64,23,0.0,0.0,0.81702,0.81356
10,400,64,24,0.0,0.0,0.81702,0.81356
10,400,64,25,0.0,0.0,0.81702,0.81356
10,400,64,26,0.0,0.0,0.81702,0.81356
10,400,64,27,0.0,0.0,0.81702,0.81356
10,400,64,28,0.0,0.0,0.81702,0.81356
10,400,64,29,0.0,0.0,0.81702,0.81356
10,400,64,30,0.0,0.0,0.81702,0.81356
10,400,64,31,0.0,0.0,0.81702,0.81356
10,400,64,32,0.0,0.0,0.81702,0.81356
10,400,64,33,0.0,0.0,0.81702,0.81356
10,400,64,34,0.0,0.0,0.81702,0.81356
10,400,64,35,0.0,0.0,0.81702,0.81356
10,400,64,36,0.0,0.0,0.81702,0.81356
10,400,64,37,0.0,0.0,0.81702,0.81356
10,400,64,38,0.0,0.0,0.81702,0.81356
10,400,64,39,0.0,0.0,0.81702,0.81356
