clients_count,epochs,batch_size,round,nmi,ari,accuracy
10,200,64,145,0.1169,0.14303,0.71795
10,200,64,146,0.18327,0.13477,0.71795
10,200,64,147,0.20973,0.25495,0.76923
10,200,64,148,0.18327,0.13477,0.71795
10,200,64,149,0.23572,0.18937,0.74359
10,200,64,150,0.2877,0.24876,0.76923
10,200,64,151,0.23572,0.18937,0.74359
10,200,64,152,0.20973,0.25495,0.76923
10,200,64,153,0.23572,0.18937,0.74359
10,200,64,154,0.16209,0.19658,0.74359
10,200,64,155,0.2877,0.24876,0.76923
10,200,64,156,0.23572,0.18937,0.74359
10,200,64,157,0.2877,0.24876,0.76923
10,200,64,158,0.2877,0.24876,0.76923
10,200,64,159,0.16209,0.19658,0.74359
10,200,64,160,0.20973,0.25495,0.76923
10,200,64,161,0.23572,0.18937,0.74359
10,200,64,162,0.20973,0.25495,0.76923
10,200,64,163,0.16209,0.19658,0.74359
10,200,64,164,0.07424,0.09433,0.69231
10,200,64,165,0.20973,0.25495,0.76923
10,200,64,166,0.23572,0.18937,0.74359
10,200,64,167,0.18327,0.13477,0.71795
10,200,64,168,0.16209,0.19658,0.74359
10,200,64,169,0.10317,0.1501,0.71795
10,200,64,170,0.18327,0.13477,0.71795
10,200,64,171,0.06595,0.10921,0.69231
10,200,64,172,0.2877,0.24876,0.76923
10,200,64,173,0.16209,0.19658,0.74359
10,200,64,174,0.23572,0.18937,0.74359
10,200,64,175,0.23572,0.18937,0.74359
10,200,64,176,0.23572,0.18937,0.74359
10,200,64,177,0.04091,0.07382,0.66667
10,200,64,178,0.18327,0.13477,0.71795
10,200,64,179,0.16209,0.19658,0.74359
10,200,64,180,0.18327,0.13477,0.71795
10,200,64,181,0.16209,0.19658,0.74359
10,200,64,182,0.2877,0.24876,0.76923
10,200,64,183,0.18327,0.13477,0.71795
10,200,64,184,0.16209,0.19658,0.74359
10,200,64,185,0.18327,0.13477,0.71795
10,200,64,186,0.2602,0.31816,0.79487
10,200,64,187,0.0692,0.11487,0.69231
10,200,64,188,0.14408,0.20269,0.74359
10,200,64,189,0.16209,0.19658,0.74359
10,200,64,190,0.1169,0.14303,0.71795
10,200,64,191,0.14408,0.20269,0.74359
10,200,64,192,0.20973,0.25495,0.76923
10,200,64,193,0.16209,0.19658,0.74359
10,200,64,194,0.20973,0.25495,0.76923
10,200,64,195,0.20973,0.25495,0.76923
10,200,64,196,0.23572,0.18937,0.74359
10,200,64,197,0.23572,0.18937,0.74359
10,200,64,198,0.18327,0.13477,0.71795
10,200,64,199,0.03675,0.06731,0.66667
10,200,64,200,0.18327,0.13477,0.71795
10,200,64,201,0.10317,0.1501,0.71795
