clients_count,epochs,batch_size,round,nmi,ari,accuracy
10,100,64,1,0,0,0.16949
10,100,64,2,0,0,0.83051
10,100,64,3,0,0,0.83051
10,100,64,4,0,0,0.83051
10,100,64,5,0,0,0.83051
10,100,64,6,0,0,0.83051
10,100,64,7,0,0,0.83051
10,100,64,8,0,0,0.83051
10,100,64,9,0,0,0.83051
10,100,64,10,0,0,0.83051
10,100,64,11,0.17129,0.32965,0.83051
10,100,64,12,0.20696,0.35455,0.83051
10,100,64,13,0.12811,0.25707,0.79661
10,100,64,14,0.17129,0.32965,0.83051
10,100,64,15,0.20685,0.38583,0.86441
10,100,64,16,0.14368,0.30288,0.84746
10,100,64,17,0.33144,0.52131,0.89831
10,100,64,18,0.276,0.46648,0.88136
10,100,64,19,0.32804,0.4919,0.89831
10,100,64,20,0.25065,0.3987,0.88136
10,100,64,21,0.33144,0.52131,0.89831
10,100,64,22,0.276,0.46648,0.88136
10,100,64,23,0.33144,0.52131,0.89831
10,100,64,24,0.33144,0.52131,0.89831
10,100,64,25,0.35215,0.54529,0.89831
10,100,64,26,0.33144,0.52131,0.89831
10,100,64,27,0.276,0.46648,0.88136
10,100,64,28,0.33144,0.52131,0.89831
10,100,64,29,0.17533,0.30136,0.86441
10,100,64,30,0.35215,0.54529,0.89831
10,100,64,31,0.33144,0.52131,0.89831
10,100,64,32,0.33144,0.52131,0.89831
10,100,64,33,0.25658,0.43611,0.88136
10,100,64,34,0.41246,0.60425,0.91525
10,100,64,35,0.32804,0.4919,0.89831
10,100,64,36,0.41246,0.60425,0.91525
10,100,64,37,0.40866,0.58173,0.91525
10,100,64,38,0.49441,0.66883,0.9322
10,100,64,39,0.1865,0.3481,0.86441
10,100,64,40,0.1865,0.3481,0.86441
10,100,64,41,0.33144,0.52131,0.89831
10,100,64,42,0.41246,0.60425,0.91525
10,100,64,43,0.41246,0.60425,0.91525
10,100,64,44,0.40866,0.58173,0.91525
10,100,64,45,0.276,0.46648,0.88136
10,100,64,46,0.35215,0.54529,0.89831
10,100,64,47,0.20685,0.38583,0.86441
10,100,64,48,0.06106,0.16095,0.83051
10,100,64,49,0.33144,0.52131,0.89831
10,100,64,50,0.30481,0.49132,0.88136
10,100,64,51,0.35215,0.54529,0.89831
10,100,64,52,0.33144,0.52131,0.89831
10,100,64,53,0.50242,0.68542,0.9322
10,100,64,54,0.33144,0.52131,0.89831
10,100,64,55,0.49441,0.66883,0.9322
10,100,64,56,0.25065,0.3987,0.88136
10,100,64,57,0.50242,0.68542,0.9322
10,100,64,58,0.41246,0.60425,0.91525
10,100,64,59,0.50242,0.68542,0.9322
10,100,64,60,0.41246,0.60425,0.91525
10,100,64,61,0.43782,0.62268,0.91525
10,100,64,62,0.20696,0.35455,0.83051
10,100,64,63,0.41246,0.60425,0.91525
10,100,64,64,0.50242,0.68542,0.9322
10,100,64,65,0.6074,0.76523,0.94915
10,100,64,66,0.6074,0.76523,0.94915
10,100,64,67,0.49441,0.66883,0.9322
10,100,64,68,0.49441,0.66883,0.9322
10,100,64,69,0.33144,0.52131,0.89831
10,100,64,70,0.33144,0.52131,0.89831
10,100,64,71,0.25065,0.3987,0.88136
10,100,64,72,0.53884,0.69903,0.9322
10,100,64,73,0.25013,0.37495,0.83051
10,100,64,74,0.30481,0.49132,0.88136
10,100,64,75,0.41246,0.60425,0.91525
10,100,64,76,0.35215,0.54529,0.89831
10,100,64,77,0.50242,0.68542,0.9322
10,100,64,78,0.50242,0.68542,0.9322
10,100,64,79,0.50242,0.68542,0.9322
10,100,64,80,0.25658,0.43611,0.88136
10,100,64,81,0.41246,0.60425,0.91525
10,100,64,82,0.41246,0.60425,0.91525
10,100,64,83,0.48334,0.63782,0.91525
10,100,64,84,0.35215,0.54529,0.89831
10,100,64,85,0.41246,0.60425,0.91525
10,100,64,86,0.35215,0.54529,0.89831
10,100,64,87,0.43782,0.62268,0.91525
10,100,64,88,0.53884,0.69903,0.9322
10,100,64,89,0.40866,0.58173,0.91525
10,100,64,90,0.58841,0.75376,0.94915
10,100,64,91,0.43782,0.62268,0.91525
10,100,64,92,0.6074,0.76523,0.94915
10,100,64,93,0.40866,0.58173,0.91525
10,100,64,94,0.23419,0.39637,0.84746
10,100,64,95,0.41246,0.60425,0.91525
10,100,64,96,0.41246,0.60425,0.91525
10,100,64,97,0.58841,0.75376,0.94915
10,100,64,98,0.43782,0.62268,0.91525
10,100,64,99,0.43782,0.62268,0.91525
10,100,64,100,0.41246,0.60425,0.91525
