clients_count,epochs,batch_size,round,nmi,ari,accuracy
10,150,64,1,0,0,0.35897
10,150,64,2,0.12876,0.08499,0.69231
10,150,64,3,0,0,0.64103
10,150,64,4,0,0,0.64103
10,150,64,5,0,0,0.64103
10,150,64,6,0.18724,0.2677,0.76923
10,150,64,7,0.20973,0.25495,0.76923
10,150,64,8,0.34039,0.31293,0.79487
10,150,64,9,0.16209,0.19658,0.74359
10,150,64,10,0.16209,0.19658,0.74359
10,150,64,11,0.14408,0.20269,0.74359
10,150,64,12,0.12876,0.08499,0.69231
10,150,64,13,0.1169,0.14303,0.71795
10,150,64,14,0.10317,0.1501,0.71795
10,150,64,15,0.1169,0.14303,0.71795
10,150,64,16,0.16209,0.19658,0.74359
10,150,64,17,0.06628,0.10238,0.69231
10,150,64,18,0.20973,0.25495,0.76923
10,150,64,19,0.07424,0.09433,0.69231
10,150,64,20,0.03427,0.05956,0.66667
10,150,64,21,0.18327,0.13477,0.71795
10,150,64,22,0.1169,0.14303,0.71795
10,150,64,23,0.1169,0.14303,0.71795
10,150,64,24,0.23572,0.18937,0.74359
10,150,64,25,0.23572,0.18937,0.74359
10,150,64,26,0.07424,0.09433,0.69231
10,150,64,27,0.03531,0.0505,0.66667
10,150,64,28,0.10317,0.1501,0.71795
10,150,64,29,0.07424,0.09433,0.69231
10,150,64,30,0.00968,0.02165,0.64103
10,150,64,31,0.06628,0.10238,0.69231
10,150,64,32,0.20973,0.25495,0.76923
10,150,64,33,0.1889,0.26015,0.76923
10,150,64,34,0.16209,0.19658,0.74359
10,150,64,35,0.1169,0.14303,0.71795
10,150,64,36,0.1395,0.20775,0.74359
10,150,64,37,0.01404,0.03035,0.64103
10,150,64,38,0.03427,0.05956,0.66667
10,150,64,39,0.01404,0.03035,0.64103
10,150,64,40,0.0692,0.11487,0.69231
10,150,64,41,0.07424,0.09433,0.69231
10,150,64,42,0.1169,0.14303,0.71795
10,150,64,43,0.00968,0.02165,0.64103
10,150,64,44,0.01866,0.03773,0.64103
10,150,64,45,0.03427,0.05956,0.66667
10,150,64,46,0.06628,0.10238,0.69231
10,150,64,47,0.00783,0.01353,0.61538
10,150,64,48,0.03427,0.05956,0.66667
