clients_count,epochs,batch_size,round,nmi,ari,test_accuracy
10,400,64,368,0.5066,0.68301,0.92593
10,400,64,369,0.5314,0.70362,0.93056
10,400,64,370,0.5476,0.7167,0.93364
10,400,64,371,0.51968,0.69425,0.92901
10,400,64,372,0.57287,0.73633,0.93827
10,400,64,373,0.51425,0.68958,0.92747
10,400,64,374,0.55405,0.72242,0.93519
10,400,64,375,0.52701,0.69889,0.92901
10,400,64,376,0.54955,0.71754,0.93364
10,400,64,377,0.5627,0.72152,0.93364
10,400,64,378,0.50336,0.67941,0.92438
10,400,64,379,0.49799,0.67542,0.92438
10,400,64,380,0.53517,0.70749,0.9321
10,400,64,381,0.56743,0.73396,0.93827
10,400,64,382,0.50943,0.68496,0.92593
10,400,64,383,0.56237,0.72899,0.93673
10,400,64,384,0.52316,0.6942,0.92747
10,400,64,385,0.49575,0.67115,0.92438
10,400,64,386,0.55412,0.71917,0.93364
10,400,64,387,0.52738,0.70087,0.93056
10,400,64,388,0.522,0.69615,0.92901
10,400,64,389,0.53941,0.70316,0.92901
10,400,64,390,0.51968,0.69425,0.92901
10,400,64,391,0.5378,0.70928,0.9321
10,400,64,392,0.49161,0.66844,0.9213
10,400,64,393,0.53944,0.71016,0.9321
10,400,64,394,0.54955,0.71754,0.93364
10,400,64,395,0.51306,0.68861,0.92747
10,400,64,396,0.54993,0.71986,0.93519
10,400,64,397,0.55675,0.71996,0.93364
10,400,64,398,0.49414,0.67192,0.92284
10,400,64,399,0.54201,0.71322,0.93364
10,400,64,400,0.52514,0.69799,0.92901
10,400,64,401,0.52701,0.69889,0.92901
