clients_count,epochs,batch_size,round,nmi,ari,accuracy
10,800,64,2,0,0,0.83051
10,800,64,3,0,0,0.83051
10,800,64,4,0,0,0.83051
10,800,64,5,0,0,0.83051
10,800,64,6,0,0,0.83051
10,800,64,7,0,0,0.83051
10,800,64,8,0,0,0.83051
10,800,64,9,0,0,0.83051
10,800,64,10,0,0,0.83051
10,800,64,11,0,0,0.83051
10,800,64,12,0,0,0.83051
10,800,64,13,0.12811,0.25707,0.79661
10,800,64,14,0.12088,0.25663,0.84746
10,800,64,15,0.20685,0.38583,0.86441
10,800,64,16,0.17129,0.32965,0.83051
10,800,64,17,0,0,0.83051
10,800,64,18,0.20696,0.35455,0.83051
10,800,64,19,0.1865,0.3481,0.86441
10,800,64,20,0.38626,0.56496,0.89831
10,800,64,21,0.30481,0.49132,0.88136
10,800,64,22,0.35215,0.54529,0.89831
10,800,64,23,0.35215,0.54529,0.89831
10,800,64,24,0.1865,0.3481,0.86441
10,800,64,25,0.33144,0.52131,0.89831
10,800,64,26,0.25065,0.3987,0.88136
10,800,64,27,0.25065,0.3987,0.88136
10,800,64,28,0.23335,0.4166,0.86441
10,800,64,29,0.14368,0.30288,0.84746
10,800,64,30,0.40866,0.58173,0.91525
10,800,64,31,0.30481,0.49132,0.88136
10,800,64,32,0.33144,0.52131,0.89831
10,800,64,33,0.276,0.46648,0.88136
10,800,64,34,0.20685,0.38583,0.86441
10,800,64,35,0.33144,0.52131,0.89831
10,800,64,36,0.25658,0.43611,0.88136
10,800,64,37,0.35215,0.54529,0.89831
10,800,64,38,0.30481,0.49132,0.88136
10,800,64,39,0.20685,0.38583,0.86441
10,800,64,40,0.33144,0.52131,0.89831
10,800,64,41,0.08667,0.21708,0.83051
10,800,64,42,0.25658,0.43611,0.88136
10,800,64,43,0.41246,0.60425,0.91525
10,800,64,44,0.25658,0.43611,0.88136
10,800,64,45,0.20696,0.35455,0.83051
10,800,64,46,0.12811,0.25707,0.79661
10,800,64,47,0.14368,0.30288,0.84746
10,800,64,48,0.1865,0.3481,0.86441
10,800,64,49,0.276,0.46648,0.88136
10,800,64,50,0.25658,0.43611,0.88136
10,800,64,51,0.16957,0.34042,0.84746
10,800,64,52,0.19926,0.37114,0.84746
10,800,64,53,0.16957,0.34042,0.84746
10,800,64,54,0.14368,0.30288,0.84746
10,800,64,55,0.06106,0.16095,0.83051
10,800,64,56,0.33144,0.52131,0.89831
10,800,64,57,0.38626,0.56496,0.89831
10,800,64,58,0.25658,0.43611,0.88136
10,800,64,59,0.38626,0.56496,0.89831
10,800,64,60,0.20685,0.38583,0.86441
10,800,64,61,0.08667,0.21708,0.83051
10,800,64,62,0.20685,0.38583,0.86441
10,800,64,63,0.33144,0.52131,0.89831
10,800,64,64,0.33144,0.52131,0.89831
10,800,64,65,0.276,0.46648,0.88136
10,800,64,66,0.41246,0.60425,0.91525
10,800,64,67,0.25658,0.43611,0.88136
10,800,64,68,0.33144,0.52131,0.89831
10,800,64,69,0.20685,0.38583,0.86441
10,800,64,70,0.276,0.46648,0.88136
10,800,64,71,0.33144,0.52131,0.89831
10,800,64,72,0.25658,0.43611,0.88136
10,800,64,73,0.1865,0.3481,0.86441
10,800,64,74,0.43782,0.62268,0.91525
10,800,64,75,0.33144,0.52131,0.89831
10,800,64,76,0.25658,0.43611,0.88136
10,800,64,77,0.41246,0.60425,0.91525
10,800,64,78,0.6074,0.76523,0.94915
10,800,64,79,0.25658,0.43611,0.88136
10,800,64,80,0.50242,0.68542,0.9322
10,800,64,81,0.50242,0.68542,0.9322
10,800,64,82,0.33144,0.52131,0.89831
10,800,64,83,0.30481,0.49132,0.88136
10,800,64,84,0.34371,0.51173,0.88136
10,800,64,85,0.00013,-0.00372,0.64407
10,800,64,86,0.09643,0.19637,0.76271
10,800,64,87,0.33144,0.52131,0.89831
10,800,64,88,0.50242,0.68542,0.9322
10,800,64,89,0.30779,0.46256,0.86441
10,800,64,90,0.27695,0.41708,0.84746
10,800,64,91,0.6074,0.76523,0.94915
10,800,64,92,0.33144,0.52131,0.89831
10,800,64,93,0.33144,0.52131,0.89831
10,800,64,94,0.41246,0.60425,0.91525
10,800,64,95,0.53884,0.69903,0.9322
10,800,64,96,0.41246,0.60425,0.91525
10,800,64,97,0.33144,0.52131,0.89831
10,800,64,98,0.41246,0.60425,0.91525
10,800,64,99,0.12088,0.25663,0.84746
10,800,64,100,0.1865,0.3481,0.86441
10,800,64,101,0.33144,0.52131,0.89831
10,800,64,102,0.41246,0.60425,0.91525
10,800,64,103,0.53884,0.69903,0.9322
10,800,64,104,0.276,0.46648,0.88136
10,800,64,105,0.43782,0.62268,0.91525
10,800,64,106,0.43782,0.62268,0.91525
10,800,64,107,0.276,0.46648,0.88136
10,800,64,108,0.41246,0.60425,0.91525
10,800,64,109,0.50242,0.68542,0.9322
10,800,64,110,0.41246,0.60425,0.91525
10,800,64,111,0.48334,0.63782,0.91525
10,800,64,112,0.43782,0.62268,0.91525
10,800,64,113,0.41246,0.60425,0.91525
10,800,64,114,0.43782,0.62268,0.91525
10,800,64,115,0.50242,0.68542,0.9322
10,800,64,116,0.33144,0.52131,0.89831
10,800,64,117,0.25658,0.43611,0.88136
10,800,64,118,0.33144,0.52131,0.89831
10,800,64,119,0.276,0.46648,0.88136
10,800,64,120,0.50242,0.68542,0.9322
10,800,64,121,0.6074,0.76523,0.94915
10,800,64,122,0.41246,0.60425,0.91525
10,800,64,123,0.50242,0.68542,0.9322
10,800,64,124,0.53884,0.69903,0.9322
10,800,64,125,0.35215,0.54529,0.89831
10,800,64,126,0.41246,0.60425,0.91525
10,800,64,127,0.41246,0.60425,0.91525
10,800,64,128,0.30481,0.49132,0.88136
10,800,64,129,0.50242,0.68542,0.9322
10,800,64,130,0.30481,0.49132,0.88136
10,800,64,131,0.34371,0.51173,0.88136
10,800,64,132,0.35215,0.54529,0.89831
10,800,64,133,0.43782,0.62268,0.91525
10,800,64,134,0.30481,0.49132,0.88136
10,800,64,135,0.35215,0.54529,0.89831
10,800,64,136,0.35215,0.54529,0.89831
10,800,64,137,0.43782,0.62268,0.91525
10,800,64,138,0.50242,0.68542,0.9322
10,800,64,139,0.50242,0.68542,0.9322
10,800,64,140,0.50242,0.68542,0.9322
10,800,64,141,0.33144,0.52131,0.89831
10,800,64,142,0.38626,0.56496,0.89831
10,800,64,143,0.35215,0.54529,0.89831
10,800,64,144,0.20685,0.38583,0.86441
10,800,64,145,0.35215,0.54529,0.89831
10,800,64,146,0.33144,0.52131,0.89831
10,800,64,147,0.33144,0.52131,0.89831
10,800,64,148,0.276,0.46648,0.88136
10,800,64,149,0.35215,0.54529,0.89831
10,800,64,150,0.34371,0.51173,0.88136
10,800,64,151,0.33144,0.52131,0.89831
10,800,64,152,0.43782,0.62268,0.91525
10,800,64,153,0.68413,0.77464,0.94915
10,800,64,154,0.43782,0.62268,0.91525
10,800,64,155,0.38626,0.56496,0.89831
10,800,64,156,0.38626,0.56496,0.89831
10,800,64,157,0.53884,0.69903,0.9322
10,800,64,158,0.43782,0.62268,0.91525
10,800,64,159,0.41246,0.60425,0.91525
10,800,64,160,0.48334,0.63782,0.91525
10,800,64,161,0.6074,0.76523,0.94915
10,800,64,162,0.38626,0.56496,0.89831
10,800,64,163,0.30779,0.46256,0.86441
10,800,64,164,0.48334,0.63782,0.91525
10,800,64,165,0.35215,0.54529,0.89831
10,800,64,166,0.53884,0.69903,0.9322
10,800,64,167,0.53884,0.69903,0.9322
10,800,64,168,0.43782,0.62268,0.91525
10,800,64,169,0.23335,0.4166,0.86441
10,800,64,170,0.53884,0.69903,0.9322
10,800,64,171,0.38626,0.56496,0.89831
10,800,64,172,0.48334,0.63782,0.91525
10,800,64,173,0.23335,0.4166,0.86441
10,800,64,174,0.38626,0.56496,0.89831
10,800,64,175,0.43782,0.62268,0.91525
10,800,64,176,0.43782,0.62268,0.91525
10,800,64,177,0.48334,0.63782,0.91525
10,800,64,178,0.53884,0.69903,0.9322
10,800,64,179,0.276,0.46648,0.88136
10,800,64,180,0.43782,0.62268,0.91525
10,800,64,181,0.43698,0.58112,0.89831
10,800,64,182,0.35215,0.54529,0.89831
10,800,64,183,0.41246,0.60425,0.91525
10,800,64,184,0.38626,0.56496,0.89831
10,800,64,185,0.35215,0.54529,0.89831
10,800,64,186,0.38626,0.56496,0.89831
10,800,64,187,0.30481,0.49132,0.88136
