dataset,features,duration,gamma,epochs,nmi,ari,acc,testAcc,nmi_test,ari_test,ami,ami_test,timesteps,
pascal,80,3,5,500,0.41058,0.52296,0.86239,0.6055,0.0103,0.02595,0.40955,0.00298,128,
pascal,80,5,3,500,0.49102,0.61928,0.8945,0.6055,0.01835,0.03261,0.49012,0.01136,128,
pascal,80,5,5,500,0.4132,0.53941,0.86927,0.66055,0.05663,0.09192,0.41213,0.04991,128,
pascal,40,5,1,500,0.3185,0.37726,0.81422,0.75229,0.14094,0.22517,0.31715,0.13395,40,
pascal,40,5,3,500,0.47627,0.59555,0.88761,0.59633,0.01155,0.02333,0.47532,0.00442,40,
pascal,40,5,5,500,0.31263,0.43052,0.83028,0.66972,0.05689,0.10086,0.3114,0.05003,40,
pascal,40,5,7,500,0.4697,0.58825,0.88532,0.66055,0.04033,0.08319,0.46874,0.03316,40,
pascal,40,5,9,500,0.30057,0.40834,0.82339,0.74312,0.12782,0.21358,0.29927,0.12106,40,
pascal,40,5,10,500,0.47829,0.60351,0.88991,0.65138,0.04876,0.08014,0.47735,0.04194,40,
pascal,40,5,12,500,0.24805,0.35495,0.80046,0.66055,0.04033,0.08319,0.24672,0.03316,40,
pascal_B,40,5,1,200,0.09079,0.1354,0.73913,0.70968,0.04284,0.07432,0.08796,0.02871,128,
pascal_B,40,5,1,500,0.32643,0.46379,0.84511,0.64516,0.02557,0.05985,0.32493,0.0169,128,
pascal_B,40,5,3,500,0.34148,0.47371,0.84783,0.65591,0.04558,0.08123,0.34003,0.03733,128,
pascal_B,40,5,5,500,0.46268,0.59563,0.8913,0.70968,0.05607,0.12416,0.46142,0.04648,128,
pascal_B,40,5,7,500,0.41259,0.5586,0.87772,0.63441,0.01727,0.04547,0.41127,0.00846,128,
pascal_B,40,5,9,500,0.39763,0.54246,0.87228,0.66667,0.03666,0.08336,0.39629,0.02795,128,
pascal_B,40,5,10,500,0.41955,0.56616,0.88043,0.70968,0.08455,0.15387,0.41824,0.07641,128,
pascal_B,40,5,12,500,0.43923,0.57944,0.88587,0.69892,0.05012,0.11481,0.43792,0.04089,128,
physionet,40,10,1,200,0.43439,0.61734,0.90972,0.91204,0.46102,0.63641,0.43416,0.4602,128,
pascal_B,40,5,1,200,0,0,0.68478,0.73118,0,0,0,0,128,
pascal_B,40,5,1,500,0,0,0.68478,0.73118,0,0,0,0,128,
pascal_B,40,5,1,500,0.03525,0.09286,0.70924,0.73118,0.10689,0.15867,0.03256,0.09679,6,
pascal_B,40,5,1,1000,0,0,0.69565,0.68817,0,0,0,0,20,
pascal_B,40,5,1,600,0.19701,0.29623,0.79348,0.54839,0.00759,-0.02935,0.19494,-0.00163,20,
pascal_B,40,5,1,200,0.3679,0.49392,0.85314,0.73684,0.14618,0.21631,0.36709,0.14184,128,
augmented_data,40,2,1,400,0.72441,0.82837,0.95545,0.76285,0.16854,0.26473,0.7242,0.16592,85,
augmented_data,40,2,5,300,0.61195,0.73315,0.92871,0.74308,0.15902,0.22992,0.61165,0.15644,85,
augmented_data,40,2,1,400,0.19424,0.22617,0.75644,0.71146,0.0611,0.11783,0.19348,0.05737,85,
augmented_data,40,2,1,350,0.76119,0.85765,0.96337,0.75889,0.1488,0.24934,0.76101,0.14603,85,
augmented_data,40,2,3,350,0.70494,0.81381,0.95149,0.76285,0.17112,0.26562,0.70472,0.16853,85,
augmented_data,40,2,5,350,0.69663,0.80665,0.9495,0.75099,0.14814,0.23949,0.6964,0.14546,85,
augmented_data,40,2,7,350,0.7085,0.81733,0.95248,0.73123,0.10638,0.19304,0.70828,0.10346,85,
augmented_data,40,2,1,500,0.70074,0.80981,0.9505,0.75494,0.14015,0.23908,0.70051,0.13732,85,
augmented_data,40,2,3,250,0.4343,0.55886,0.87624,0.78261,0.19696,0.29415,0.43385,0.1942,128,
augmented_data,40,2,3,300,0.58003,0.68565,0.91461,0.80656,0.27868,0.37214,0.57977,0.27687,128,
augmented_data,40,2,5,300,0.1704,0.19121,0.72989,0.77049,0.25771,0.28306,0.16978,0.25565,128,
physionet,40,10,0,200,0.04321,0.09706,0.67863,0.70062,0.0659,0.13219,0.04289,0.06465,128,
physionet,40,10,0.5,200,0.49334,0.67067,0.92323,0.90586,0.43995,0.61756,0.49314,0.43911,128,
physionet,40,10,1,200,0.41867,0.59583,0.90664,0.89969,0.41019,0.58162,0.41843,0.40925,128,
physionet,40,10,3,200,0.40086,0.58146,0.90239,0.90123,0.41771,0.59605,0.40061,0.41682,128,
physionet,40,10,5,200,0.45248,0.62707,0.91435,0.90586,0.43661,0.60348,0.45226,0.43571,128,
physionet,40,10,7,200,0.49035,0.66578,0.92284,0.91667,0.48058,0.65426,0.49015,0.47979,128,
physionet,40,10,9,200,0.47106,0.6465,0.9186,0.90432,0.42845,0.60407,0.47084,0.42756,128,
physionet,40,10,10,200,0.52173,0.69085,0.9294,0.92284,0.50705,0.67685,0.52154,0.5063,128,
physionet,40,10,12,200,0.46932,0.64482,0.91821,0.90123,0.41656,0.59383,0.46911,0.41566,128,
physionet,40,10,14,200,0.49747,0.66253,0.92361,0.90432,0.42903,0.59947,0.49727,0.42813,128,
physionet,40,10,10,200,0.48012,0.65929,0.91937,0.88272,0.36201,0.53973,0.47992,0.36107,128,
physionet,40,5,0,200,0.00449,0.03543,0.24267,0.19444,0.02545,0.09557,0.004,0.0233,128,
physionet,40,5,0.5,200,0.53268,0.70105,0.92978,0.8966,0.34607,0.53702,0.5325,0.34493,128,
physionet,40,5,1,200,0.49132,0.66651,0.91975,0.90586,0.40021,0.59123,0.49113,0.39923,128,
physionet,40,5,3,200,0.44506,0.62162,0.91011,0.90278,0.3764,0.56907,0.44484,0.37534,128,
physionet,40,5,5,200,0.47904,0.65491,0.91628,0.87963,0.32274,0.50612,0.47885,0.32167,128,
physionet,40,5,7,200,0.46058,0.63795,0.91358,0.88889,0.32728,0.52002,0.46037,0.32616,128,
physionet,40,5,9,200,0.3377,0.50941,0.8831,0.87963,0.27688,0.46285,0.33743,0.27559,128,
physionet,40,5,12,200,0.50258,0.67619,0.92207,0.90432,0.40538,0.59212,0.5024,0.40442,128,
physionet,40,5,0,200,0.00011,0.00507,0.33179,0.36574,0.0004,-0.00961,-0.00027,-0.00104,64,
physionet,40,5,0.5,200,0.52995,0.7015,0.93017,0.89815,0.39206,0.57724,0.52977,0.39111,64,
physionet,40,5,1,200,0.51324,0.68151,0.92284,0.89815,0.40102,0.58353,0.51305,0.4001,64,
physionet,40,5,3,200,0.48941,0.64224,0.91011,0.87037,0.35002,0.50727,0.48923,0.34908,64,
physionet,40,5,5,200,0.4328,0.5884,0.90664,0.89352,0.36663,0.53272,0.43256,0.36554,64,
physionet,40,5,7,200,0.47921,0.64776,0.91898,0.89506,0.37092,0.55131,0.479,0.36988,64,
physionet,40,5,9,200,0.46186,0.6384,0.91551,0.8966,0.37685,0.55478,0.46165,0.37582,64,
physionet,40,5,12,200,0.51847,0.68033,0.92708,0.90123,0.39612,0.57175,0.51828,0.39511,64,
physionet,40,5,0,200,0.00324,-0.01153,0.21412,0.21759,0.00018,0.00307,0.00254,-0.00292,256,
physionet,40,5,0.5,200,0.34717,0.53164,0.88735,0.8642,0.27514,0.45123,0.34691,0.27398,256,
physionet,40,5,1,200,0,0,0.7963,0.78858,0,0,0,0,256,
physionet,40,5,3,200,0.50768,0.68307,0.92515,0.88272,0.34163,0.52324,0.50749,0.3406,256,
physionet,40,5,5,200,0,0,0.7963,0.78858,0,0,0,0,256,
physionet,40,5,7,200,0.44165,0.62335,0.90934,0.87037,0.31499,0.49332,0.44144,0.31396,256,
physionet,40,5,9,200,0.39154,0.5745,0.89931,0.88426,0.34754,0.52939,0.3913,0.34653,256,
physionet,40,5,12,200,0.44077,0.62185,0.90856,0.88735,0.36201,0.5443,0.44056,0.36102,256,
pascal,40,5,1,500,0.44432,0.55745,0.87385,0.65138,0.02151,0.05766,0.44337,0.01363,128,
pascal,40,5,1,500,0.18871,0.26994,0.76147,0.6789,0.04762,0.09845,0.18731,0.03999,128,
pascal,40,5,3,500,0.3871,0.50308,0.8555,0.77982,0.15076,0.2695,0.38604,0.14363,128,
pascal,40,5,1,200,0.42147,0.58261,0.90316,0.88889,0.30795,0.4844,0.42123,0.30667,128,
physionet,40,5,5,200,0.30496,0.44252,0.84491,0.83642,0.27608,0.40496,0.30472,0.27503,128,
physionet,40,5,1,200,0.4031,0.58046,0.89468,0.87809,0.31599,0.4998,0.40288,0.31491,128,
physionet,40,5,1,200,0.49372,0.66652,0.9213,0.90586,0.39062,0.58305,0.49352,0.38959,128,
pascal,40,5,1,500,0,0,0.61239,0.77064,0,0,0,0,128,
pascal,40,5,1,500,0.37485,0.4819,0.84862,0.76147,0.10802,0.2194,0.37374,0.1004,128,
pascal,40,5,1,500,0.16263,0.23715,0.74541,0.68807,0.0617,0.11519,0.16118,0.05422,128,
pascal,40,5,1,500,0.20045,0.28757,0.77064,0.7156,0.07955,0.1524,0.19903,0.0721,128,
pascal,40,5,1,500,0.19977,0.26767,0.76376,0.75229,0.0891,0.19481,0.19827,0.08124,128,
pascal,40,5,1,500,0.39325,0.49439,0.85321,0.7156,0.09041,0.15832,0.39216,0.08313,128,
pascal,40,5,1,500,0.41128,0.52921,0.86468,0.72477,0.06668,0.15133,0.41026,0.05884,128,
pascal,40,5,1,500,0.31213,0.41324,0.82339,0.77064,0.14027,0.25155,0.31091,0.13311,128,
pascal,40,5,1,500,0.25862,0.31796,0.7867,0.74312,0.06305,0.16048,0.25721,0.0547,128,
pascal,40,5,1,500,0.49115,0.60534,0.88991,0.72477,0.06668,0.15133,0.49025,0.05884,128,
pascal,40,5,1,500,0.19189,0.2636,0.76147,0.77064,0.09814,0.21769,0.19038,0.09,128,
pascal,40,5,3,500,0.20292,0.26121,0.76147,0.78899,0.12985,0.26313,0.20139,0.12199,128,
pascal,40,5,3,500,0.44372,0.56345,0.87615,0.74312,0.12535,0.20785,0.44276,0.11831,128,
pascal,40,5,3,500,0.232,0.32267,0.7867,0.70642,0.02488,0.08792,0.23062,0.01618,128,
pascal,40,5,3,1000,0.42146,0.53679,0.86697,0.6789,0.03225,0.08494,0.42046,0.02431,128,
pascal,40,5,3,500,0.24401,0.33993,0.79358,0.74312,0.08099,0.17961,0.24268,0.07314,128,
pascal,40,5,3,500,0.22215,0.31259,0.78211,0.69725,0.04914,0.11391,0.22076,0.04134,128,
pascal,40,5,3,500,0.13642,0.14131,0.70413,0.78899,0.08967,0.20273,0.13449,0.07977,128,sigmoid
pascal,40,5,3,500,0.08957,0.10863,0.68349,0.80734,0.12939,0.25513,0.08755,0.11993,128
pascal,40,5,3,500,0.09189,0.09861,0.6789,0.78899,0.07721,0.17016,0.08978,0.06579,128
pascal,40,5,3,1000,0.14074,0.14071,0.70413,0.78899,0.08967,0.20273,0.13881,0.07977,128
pascal,40,5,1,500,0.16421,0.16638,0.71789,0.77982,0.08377,0.19937,0.16238,0.07449,128
pascal,40,5,1,500,0.10626,0.16093,0.70872,0.74312,0.0548,0.14947,0.10456,0.04615,128
pascal,40,5,1,500,0.11659,0.18137,0.71789,0.6789,0.0196,0.06797,0.11499,0.0113,128
pascal,40,5,1,100,0.0,0.0,0.61239,0.77064,0.0,0.0,-0.0,0.0,128
pascal,40,5,1,500,0.1218,0.18226,0.72018,0.7156,0.0518,0.12986,0.12015,0.04377,128
physionet,40,5,1,200,0.28692,0.45999,0.86883,0.84877,0.17141,0.3396,0.28663,0.16991,128
pascal,40,60,5,2000,0.0,0.0,0.63073,0.69725,0.0,0.0,0.0,0.0,128
pascal,40,60,5,1000,0.2252,0.26909,0.77523,0.63303,0.02602,0.04251,0.22352,0.0169,32
pascal,40,60,5,900,0.50168,0.6331,0.89908,0.58716,0.00478,0.012,0.50078,-0.00294,32
physionet,40,3,1,200,0.0,0.0,0.60027,0.62903,0.0,0.0,0.0,0.0,128
physionet,40,3,1,1000,0.30766,0.37925,0.81023,0.7957,0.24223,0.33963,0.30692,0.23896,128
augmented_data,40,3,1,1200,0.14621,0.13247,0.69583,0.73656,0.15397,0.19857,0.14509,0.14981,128
augmented_data,40,3,1,500,0.61573,0.72907,0.92732,0.76882,0.21146,0.28495,0.61534,0.20831,128
augmented_data,40,3,5,800,0.17866,0.19901,0.73351,0.67742,0.09581,0.11384,0.17766,0.09151,128
augmented_data,40,5,5,500,0.58029,0.69563,0.91738,0.70455,0.10822,0.1561,0.5794,0.1003,128
pascal,40,5,5,500,0.02428,0.02101,0.65826,0.63303,0.00183,0.0048,0.02083,-0.01492,128
pascal,40,5,5,1000,0.02867,0.04051,0.66514,0.63303,0.00634,0.01788,0.02591,-0.00466,128
pascal,40,5,5,500,0.3742,0.4935,0.85321,0.6422,0.03483,0.0658,0.37307,0.02775,128
pascal,40,5,5,1000,0.28433,0.39324,0.81651,0.66055,0.0728,0.09468,0.28304,0.06614,128
pascal,40,5,5,500,0.02281,0.05581,0.63991,0.73394,0.06815,0.14661,0.02088,0.05946,128
